pid,k_windows,f1,auroc
37,0,0.1875,0.5649072966507177
37,14,0.26071428571428573,0.5789459444064707
37,21,0.2033333333333333,0.5753901799954432
37,28,0.24814814814814815,0.578988664843928
9,0,0.23823361823361822,0.6118927855473708
9,7,0.24814814814814815,0.6236609511721608
9,14,0.2616356547935495,0.6156482469979321
9,21,0.2653443577356621,0.6226530392354562
9,28,0.2653443577356621,0.6267617305038571
47,0,0.3025,0.7764650773797115
47,3,0.29118964659034346,0.775892994523221
47,7,0.29118964659034346,0.7762740920841965
47,14,0.2681840672934191,0.7733826741557578
47,21,0.1955634880163182,0.7782768806396856
47,28,0.17922077922077922,0.7919100869449301
16,0,0.7193181818181819,0.9623511904761906
16,3,0.6523310023310024,0.9623511904761906
16,7,0.6523310023310024,0.9623511904761906
16,14,0.7193181818181819,0.9623511904761906
16,21,0.6939531057178117,0.9623511904761906
16,28,0.6939531057178117,0.9602678571428571
22,0,0.6678232392322679,0.8898567734673626
22,7,0.6678232392322679,0.8884784556440204
22,14,0.630295868347339,0.8781232393321605
22,21,0.6487734487734488,0.8876972056440204
22,28,0.6649868158407058,0.8918335727097868
24,0,0.6432152406417112,0.8862226589200274
24,14,0.6349630761395467,0.8825956937799043
24,21,0.6626984126984127,0.8844753930280247
24,28,0.7443609022556391,0.889196001367054
27,0,0.29027777777777775,
27,21,0.2828569426930083,
27,28,0.19736842105263158,
