,menstrual,follicular,fertility,luteal
LR,0.5782493368700266,0.43902439024390244,0.42953020134228187,0.5411334552102377
XGB,0.5696969696969697,0.48657187993680884,0.44987775061124696,0.6058631921824105
LSTM,0.5668202764976958,0.4076655052264808,0.5093457943925234,0.5127272727272727
Transformer,0.6161137440758294,0.4628975265017668,0.46261682242990654,0.519298245614035
